Date,ADI,ADP,ADSK,AEP,ALGN,AMAT,AMD,AMGN,ANSS,ASML,ATVI,AVGO,AZN,BIIB,BKNG,BKR,CDNS,CHTR,CMCSA,COST,CPRT,CSGP,CSX,CTAS,CTSH,DLTR,DXCM,EBAY,ENPH,EXC,FAST,FISV,FTNT,GILD,GOOG,GOOGL,HON,IDXX,ILMN,INTU,ISRG,KDP,KLAC,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MSFT,MU,NXPI,ODFL,ORLY,PAYX,PCAR,PEP,REGN,SBUX,SGEN,SIRI,SNPS,TMUS,TXN,VRSK,VRTX,WBA,WBD,XEL
2012-06-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-05,0.9969213374822037,1.0041055649721882,0.9951534241621564,0.9986978372455503,0.9703903371097596,0.9980159221983405,0.982638823351377,1.0094438106941894,1.027098873018593,1.0097263133698369,0.9931448223493534,0.9795003394066484,0.9947500228881836,1.0301304677781309,1.0019380515350538,0.9919492115749766,0.9959349632893545,0.9982117249446292,1.0069686010548502,1.0099484837293164,0.9737552948984791,0.9955838270993421,0.9901815787481473,0.9988823438249763,1.0048883135468107,1.0203590291639366,0.9824073582683253,1.0025667358892048,0.8678929833890826,1.0147581387659839,0.9697180395418166,1.0069728524474895,0.99170328953638,1.0067803953866852,1.009171943214397,1.0091719286680196,0.9858630417979555,1.001581090385404,0.9605607070231849,0.9895079951308784,1.0200989978450954,0.9970544246038787,1.000894674935058,0.9969554218904068,1.0014463187012417,0.9784975264170889,1.0016404575183766,1.0016012158163634,1.005244994103312,1.0282048219798876,0.9961565126790364,0.9890310886506563,0.9616564406708757,0.9717272615208427,1.0074963011161482,0.999318321143161,0.9868168207409947,0.9986659303422473,1.0309009447075113,1.006730739886944,1.0249091609150918,1.0108695546541866,0.9842822609576782,0.9822293808566137,1.0003699677627746,1.0034401172476077,0.9682299016469886,0.996381621566341,0.9932404979864776,1.0021444379654274
2012-06-06,1.0198712312781693,1.011534690630916,1.0197091660085955,1.019531249223898,1.0275909024602294,1.0307540101153814,1.0260415994044834,1.0154936270292,1.0605153665388083,1.0321194755270038,1.0017137535525797,1.0185778326861767,1.0087499618530273,1.053380784206447,1.0188267437394285,1.0097584214394353,1.0365853303958097,1.0347911439236137,1.0149825221740902,1.0181413316722019,0.9683519992414774,1.016974903137103,1.010309303689933,1.0044705181145355,1.0322975266802383,1.023367785101279,1.0,1.0266940067193902,0.9113712026558713,1.0240503353992891,0.9066112515584838,1.0236470748783946,1.0273304019523095,0.9977399465832633,1.0109782633876696,1.0109781915824285,1.0005579908162616,1.0272439531806465,0.9800427619495686,1.0130246243958452,1.0468977071409986,1.004172758025073,1.0143144576773364,1.0584002365893546,1.03355510146521,1.007076709571453,1.0200131436848048,1.005871294337837,1.0810729171370965,1.03821755557026,1.0090844973413413,1.0365631250043041,1.012269927283794,0.9802803537349961,1.022810076520264,1.011929119960787,1.0151057458787636,0.9979247051356592,1.0640032480754984,1.020961541395921,1.0996367426405742,1.0326086639625596,1.0111771432606735,1.0016154688129628,1.0255271405542319,1.005375188325566,0.9919313608439965,1.0055921078429988,1.009012720323387,1.0150107249165585
2012-06-07,1.0579345010171992,1.0496578667541487,1.081421660602387,1.0309895463391325,1.0706595030278518,1.0684524344523931,1.0590277191389514,1.0399882964158955,1.0899417438981651,1.0925130114744646,0.9828620558733834,1.0707879897638548,1.036750030517578,1.0645314658682783,1.0642975460293451,1.003659373140754,1.0782519809094564,1.0497480321377246,1.048780473216506,1.0305477590797294,0.9656503514129765,1.0680375439187368,1.0441826498409863,1.0181614332091184,1.0633729250257467,1.0562631698110725,1.0157407475270033,1.0633983531991897,1.1304348172776761,1.039354987987366,0.9218678366953257,1.050477516589914,1.070766217262971,1.0221902993977057,1.0304795377163345,1.0304795087702696,1.0288318327918036,1.0453660383381245,0.9717272838585196,1.050832153316606,1.0725432707756646,1.021354906628406,1.0501006871915757,1.0614447091164083,0.9379519676974478,1.0383777839683253,1.0508529941056168,1.0221510005155492,1.1183874344232823,1.0586660232626073,1.0356393613034696,1.07312616283545,1.0536810415684024,1.0182941308959783,1.0654315783900703,1.0456714432726306,1.0455918675596998,1.0050400825956047,1.0930289106462616,1.0398076864389272,1.1421899172822412,1.0380434412896526,1.0289905675178452,1.0177706191433864,1.06881238090097,1.02214583167416,0.9820137253432153,1.0230263411751088,1.0419909825392784,1.0260900483981203
2012-06-08,1.0307865184134148,1.0361681654091115,1.0487883129017987,1.0304687011055669,1.0148048635337588,1.0505952611847171,0.994791630448568,1.0126899904522801,1.0704904032620068,1.0635603128586795,1.0051413423779032,1.0515695885044913,1.022249984741211,1.049505811915419,1.0307318890540296,0.9714564055688436,1.0650405873703284,1.0385303659771414,1.0393727920114126,1.030079583583658,0.9509841580377115,1.0500966605406976,1.0240549248992006,1.009499864316583,1.0300279549119822,1.0515494878832956,0.9962962998938331,1.0469711737157683,1.0936454750825075,1.0587592250700024,0.9144707098520513,1.0359253459653375,1.0488042476439439,1.004725772870079,1.0098734535062253,1.0098733951848227,1.0299478888528737,1.0285818345807731,0.9277737965192089,1.0296671386733576,1.0447903752504568,1.0279823108169135,1.0263923133379258,1.0315527084402576,0.9130749439602539,1.0187805823404028,1.0360892519025615,1.0202828475253234,1.0714820381103844,1.0459738291633112,1.0206148926603267,1.0329068212211896,1.016871162204306,0.9978617779269126,1.0340544056404906,1.04601228270105,1.0337819164956876,1.0042988573890166,1.0407664079722414,1.0161538490882287,1.1567203106394814,1.0054347773270933,1.0087320994526117,1.0016154688129628,1.0384757299948029,1.011825479931337,0.9598251279725414,1.0157894588243266,1.0307251203640626,1.0117941361367042
2012-06-11,1.0528967090361776,1.0557184424404582,1.072051679717779,1.03854165321423,1.0565276024222814,1.0813491766895504,1.0434027760531064,1.018887508810617,1.0819617652553957,1.0983940823094511,1.0197086153155681,1.0919282800242005,1.045750045776367,1.0638197510397878,1.0646883968595156,0.9668211623649187,1.0813008311310306,1.047146893508546,1.0602787280922408,1.0423688554979857,0.9563875273090955,1.0817002515733949,1.0505645428943469,1.0254260917612135,1.0322975266802383,1.0773242318249434,1.084259243642679,1.058778205334451,1.2157190564780123,1.0366220534624697,0.941747648154391,1.0533575349087874,1.071254224831859,1.0199301676021442,1.0245343941155596,1.0245344196440564,1.0541294260330962,1.0460958508788372,0.943929660209173,1.0332850975618508,1.0746108790334845,1.0503190759106933,1.0711250362400513,1.0473290626603864,0.9437373528494586,1.0394664366357944,1.0567585160176614,1.0253535339549786,1.0761275879829897,1.0899733062630221,1.0387840206308205,1.0914076817510228,1.0613497339316844,1.0242337612734345,1.0550439017009106,1.0633947034996012,1.0711343363074823,1.0161577821238963,1.0697105203097714,1.041346183189979,1.2143227328831054,1.0163043319812797,1.0289905675178452,1.0048464834723543,1.05956339852401,1.033111179770014,0.9566313370606517,1.0296052509810454,1.0563293873341146,1.020729089821125
2012-06-12,1.0232298304418825,1.0441837518095423,1.035541145299042,1.0304687011055669,1.0255720136756643,1.0525793389863767,1.0,1.0014756693001232,1.050706552945777,1.0784890588681748,1.0008569176363717,1.066944333949505,1.0322500228881837,1.0512455190504386,1.0504543491796905,0.947060212374118,1.060975550659683,1.031702175518623,1.0498257268227573,1.0327714810668864,0.9424932543460827,1.0771460156885089,1.0319097461723459,1.0139703824311186,1.013268194001868,1.066492802269521,1.0731481433241783,1.0528748058459603,1.0936454750825075,1.0240503353992891,0.8994452463500021,1.0383507462859178,1.0273304019523095,1.0156154132899762,0.999210859677461,0.9992108501685966,1.0297618919141198,1.039649745655922,0.9204086846762551,1.008683059928288,1.0467783997355034,1.0552282746023853,1.0541266390784387,1.0379185964955255,0.9213190819390801,1.007076709571453,1.038385829851233,1.0218841651483894,1.0533492788776226,1.0633197551406424,1.0167714719832686,1.0457038408755115,1.0173824213635534,0.9923971833912624,1.0447633372041332,1.0548739128145355,1.0486130324510419,1.0117106570745444,1.040032580282348,1.0192307692307692,1.197197672381454,1.0163043319812797,1.0094306833977722,0.9741518827248679,1.0299666831433922,1.02214583167416,0.9241889055474186,1.030921070587272,1.0551003244114452,1.0239456786009795
2012-06-13,1.0400223992022553,1.0482893167817304,1.035541145299042,1.0296874829257534,1.02523553221157,1.0704365122540527,1.0225693806316039,1.0141656597524031,1.0541978094569229,1.1207871581807698,0.9982861647272565,1.0861627352088685,1.0422499656677247,1.0645314658682783,1.0475716752033577,0.9521833906096284,1.0599593641706115,1.051048663469829,1.0585365279849241,1.0312499776761637,0.9289849415891961,1.0796301623003426,1.0633283992274536,1.0220732298217015,1.0179818892448445,1.0742152401346403,1.0851851907450147,1.0487679818948923,1.1672240797341895,1.0289696906269883,0.9047619257573114,1.0438077813577709,1.0605173601652942,1.0168482338272349,0.985093493856329,0.9850935023589619,1.0372023648926498,1.0367306810779513,0.928961709013371,1.023335762373614,1.0471362536983249,1.0660284368159658,1.0630731324663252,1.0340437172951484,0.9205959225884591,1.014425660181924,1.0541339091423703,1.0234853809647528,1.0134870950278598,1.0652941072042426,1.020964306657133,1.0804387704016791,1.0255623728860828,0.9969114003605949,1.0669308222727671,1.053169715672438,1.0826696574480854,1.0124518822811324,1.0095393245364,1.0161538490882287,1.2620653407938014,1.0108695546541866,1.006985706210342,0.9741518827248679,1.0388456977575775,1.0154805686236668,0.9409984528963131,1.0276315843134376,1.0618599028830031,1.0139385741021316
2012-06-14,1.0299468152402123,1.0478983146389063,1.0255250077125906,1.035156208866588,1.0464334152085644,1.069444426047949,0.9982638492214475,1.0163789385470647,1.0442227727337243,1.1171680708537968,0.9974293288110484,1.0823190793945188,1.0497500419616699,1.065005942420605,1.0538906953645808,0.9441326952486966,1.0518292907493205,1.05430011776506,1.048780473216506,1.0282068815993726,0.9185642368669366,1.0640353625499088,1.0682375747401869,1.0201172782226304,1.0216480744569252,1.0697021827444686,1.1194444388028526,1.0343942143870049,1.1655518006622934,1.0213173277915069,0.900601030885381,1.04153399746959,1.0278184095211975,1.0135607907733701,0.9843569315522166,0.9843569491499597,1.0303198827303814,1.037946911589219,0.938227643984429,1.024059367952678,1.044730721547709,1.0525282106401959,1.0630731324663252,1.0257403896396922,0.8965866680026016,1.007076709571453,1.0472441127192997,1.0293567771092924,1.0040461056418988,1.0565506172321468,1.0248077939780966,1.0694698590523353,1.0189161988412954,0.9954858849915693,1.0490469261701232,1.0630538640711817,1.0609722433618727,1.0179365416675668,0.9172441793754297,0.9890384674072266,1.2667358208379071,0.9891304453458135,1.0080335821280828,0.9515347030756612,1.0332963224442286,1.026660970183108,0.9287274910264203,1.0180921431352232,1.0342072486805254,1.020371683493554
2012-06-15,1.0246291933778222,1.0672531330713741,1.0348949269704266,1.0406249348074224,1.0447510078880933,1.0744047624679198,1.001736067994327,1.0442673771374154,1.0447215055439631,1.116489518944317,0.985432727062335,1.0685458470231828,1.0454999923706054,1.1003558936154063,1.0455685149974592,0.9702366145219256,1.0670731541847112,1.069907321645223,1.0749128767030065,1.0574671803887419,0.9046700375183061,1.0702456961760172,1.0864016294768795,1.0257054525121896,1.0343924801446602,1.0837428397431548,1.1481480925498522,1.0323408024114709,1.209030099667737,1.0325225420507964,0.9089228206292417,1.0613914710841674,1.0322108267167038,1.0287651855054352,0.9826734277208369,0.9826733894105556,1.0329240631585763,1.0784480278822723,0.9325255371277713,1.037264859239876,1.05017791000181,1.0554736924011403,1.0624021689254806,1.0074730265646725,0.8887764145994436,1.0250407764538705,1.0472441127192997,1.0394982517753053,1.0137868743093614,1.07812727457591,1.0338923579633437,1.054844643919877,1.0296523486473474,1.0087906611155073,1.0583637260434513,1.083162935288615,1.0810217207517363,1.030240156288364,0.9078678931008938,0.9955769318800706,1.3061753751102392,1.0054347773270933,1.0066364142377617,0.9256865858005291,1.0325563869186793,1.0393464179121983,0.9436879779072029,1.0483553039193818,1.0329782622158914,1.0300214498331173
